word 	count	meaning	 posone 	 postwo 	 sentence 
trabaho	15	work; livelihood; occupation	n.		 \tNiyan, babalikon ta an duha nga bata, Hi Pedrito kay amo an nakatabok, nag apply hin trabaho dida han mayor, mayor patrabahoa gad ako, makakaonkaon la, ngalaong, Oo, didi ka la, buligbulig hiton kusinero pag alog
bantay	14	1 guard 2 be alert; be watchful	noun	v.	 Ha igbaw hini natungtong it bantay ngan naghuhulat ngan nangingita
baybayon	14	shore; coast; beach; seashore;  riverside	n.		 An baras ha baybayon mahumok pa dara han hitaas pa nga dagat
binayaan	14	1 left alone; abandoned; forsaken 2 left over; surplus; remainder	v.		 An didto han pangaonan binayaan ta na la ito kay may ‘da man sada
bulawan	14	gold	n.	mod.	 ” Tuod nga bulawan kay nag iiringgat, kahuman, kalit la nawara, kawara na hito nga barko linmarga liwata ada utro, takay ginkit an liwat ito didto Manila nga bulawan nga barko
dungan	14	at the same time; simultaneous;  to start at the same time with another;  to do things together; together with	mod.		 Pero hat nga gab i – makaruruyag dunggon kay may melodya an boses ni Anna
halad	14	offering	n.		 \tGen 4 3 Ngan nahanabu han naglalakat an panahon, nga hi Kain nagdara hin bunga han tuna, nga halad ngadto ha Dios
halas	14	snake	n.		 halas na ulipkapan
hayang	14	lying down	v.		 Nadiri ako paghinayang-hayang ha banig
idoy	14	term of address/endearment  to a younger male,i.e., younger brother, son or, nephew	n.		 Idoy
kadagmitan	14	rush	mod.		 \tGen 18 6 Ngan hi Abraham nagdagmit ngadto ha payag kan Sara, ngan sini-ring Pagandam hin kadagmitan tolo ka takus nga harina nga fino, pagma-sa, ngan paghimo hin mga tinapay
kag-anak	14	parent; parents	n.		 Ta, diri makaarawod han ira kag-anak
kalayo	14	fire	n.		 \tGen 19 24 Dida hito an Ginoo nagpauran ha bawbaw han Sodoma ngan ha bawbaw han Gomorra hin asupre ngan hin kalayo gumikan ha Dios tikang ha mga langit
kaon	14	eat	v.		 Katapos, hala, kaon ini nga amo didto ha igbaw han saging
kapanon	14	herd	n.		 \tGen 13 5 Ngan hi Lot liwat, nga kaupud ni Abram, nagkaada mga kapanon ngan mga kapanon hin mga baka ngan mga payag
kapatan	14	forty	n.	mod.	 \tGen 5 13 Ngan hi Kainan nabuhi taliwan niya paganak kan Mahalalel hin walo ka gatus kag kapatan ka tuig, ngan nanganak hin kalalakin-an ngan ka-babayin-an \t
kaupay	14	1 well done;  good; thing well done 2 how nice!; how good!	mod.		 An kaupay hini nga siday nagtitikang han kalidad han emosyon han tono
kulang	14	lacking; deficient; incomplete; short	mod.		 Pero ini nga siday diri napatalimpungayan, o kulang han sinisiring nga“climactic build up”—usa han mga kinaiya han siday ha radyo
kusog	14	strength; effort	n.	v.	 Iya ito gin ininaw, han baga tikaduok na, tika kusog an lamrag, nagtitikapawa
maabot	14	1 arrival; advent; reach; sale; produce 2 to attain; to meet; to happen; to touch	v.		 Ha pagkamatuod, nagpapakita ini han nahihimo han pagsiday ngan han kapas han linggwahe nga Waray, o ano pa man nga linggwahe para maabot an sugad
makusog	14	strong	mod.		 Nasangpit hiya han makusog nga uran ngan hangin
manok	14	chicken	n.		 Pananglitan Kay ano nga tinatawag nga “malonbalonan” an malonbalonan han manok
nagtawag	14	was called, summoned	v.		 \tGen 3 20 Ngan an tawo nagtawag han ka-nan iya asawa ngaran Eva
padi	14	1 priest 2 sponsor (in baptism of someone\'s child)	n.		 ” Niyan may usa nga padi, an padi dida han bungto, may ada bugto nga daraga, niyan ini nga daraga may uyab, burod ini nga manghod han padi
pag-agi	14	passed by	v.		 Ito dida nga area, pag-agi dida han ira balay, may ‘da niya bubon ngan hin baga kawayan dida han ligid
paghigugma	14	love	n.	v.	 Madamo na ako Madamo na ako, magtinguha, Eday, Nga mapara cana konta, Sinin panom doman co Nadugang la lugod, nadugang Nga nadugang, an paghigugma San casing casing co
pagkuan	14	after doing something or, anything; do something or, anything	v.		 Di pagkuan hit’ niya, may ada man niya sugad hit’ nga pisaw ano, iya’t gindaop ngadto
panit	14	skin; peeling	n.		 Kamabusag han iya panit
prinsesa	14	princess	n.		 Rumiklamo liwat hiya han iyan itay, “ Tatay, ipalit gad liwat ako’n uyagan kay an akon una ginbalyo man hito nga prinsesa hin kamison
programa	14	program; schedule; show; playbill	n.		 Nagtikang ini nga programa dida han 1974 ngan hasta ngada yana nangunguna la gihapon ini
siguro	14	maybe; not sure	mod.		 Diri makuri hisaydan an kan Aurillo siday siguro matungod ini han kabug os han iya pagkita o insight
sinurat	14	1 written; wrote; 2 writing; composition; article; essay; paper	v.	n.	 An nasabi nga siday sinurat ni Filomeno Singson “usa nga abogado nga nakasurat hin damo nga siday ha Waray ngan Espanyol” dida han 1930s
tagi	14	give (him/her/it) something	v.		 Gintawagan an iya pamilya, pinakadto ha koloniya, han didto na ha koloniya baga nagkuri hira ha pagkaon, kay waray naman hira tagi han gobyerno hin supply kay ginpayawas
tinawag	14	was called, summoned, named	v.		 Kay ano nga tinawag hini nga katawhan an ira kalugaringon nga Waray
uripon	14	slave	n.		 Sugot an kabataan kay waray man mahihimo kay uripon la hira, padayon an pagtawo, didto an kapitan, sarayaw nga tanan
waraynon	14	possessing or having the characteristics of Waray culture or sensibility	n.	mod.	 Diri makukurian an usa nga Waray nga taga-Sidlangan nga Samar nga maka-intindi iton Winaray han mga taga-Tacloban o kundi ngani an kabaligtaran , bisan may-ada danay mga colloquialisms nga diri maiintindihan An mga syahan nga mga sumat hin Waraynon nga literatura natikang han 1668 han pagdokumentar hin Heswita nga padi nga hi Padre Francisco Ignacio Alzina han mga porma hin siday sugad han candu, haya, ambahan, canogon, bical, balac, siday ngan awit
anyos	13	years	n.		 Duong na ito nga barko, an duha nga bata, sidngon ta an edad mga dose anyos na, kadto kamo, kamo iton bantay hiton barko, dida ka ha ulin Pedrito, didto ka Nandito ha dulong, kun ano man in’ maraot nga mahitabo ha barko, pamamatayon ko kamo kay hi ako’n magbabaton hito
buhaton	13	1 to drudge 2 work; to do	v.	n.	 Bis pa ano it im buhaton aada gud la hiya di ka ngani pag iisgan pero tatagan ka hin hin kinaadman nga kun diin makakayakan ka nga, “Mao ngay an”
buhok	13	hair	n.		 Iton nga babaye, halaba an buhok hiton niya
gintagan	13	was/were given (something intentionally) (object focus)	v.		 Kun ikaw an gintagan han akon mga surat, ikaw an akon portuna
guihapon	13	1 also; too; as usual; still; likewise 2 another	mod.		 4 Patod pagmalatumat pitad nga dire asya Ayaw gud isugal kabubwason han pamilya Aton ta pasagdi aton anak nga umuba Bangin pag abot han panahon ikaw mabale waray na 5 Aton kakablasan mayda katapusan Kun an ngaran nga bisyo imo babayaan Pagsakripisyo han pamilya mayda kahulugan Kun ikaw matoo han aton taglarang 6 Sangkay panahon na kasing kasing pasi urogan ta Kamurayaw,katalwasan ngan kalipay huna huna a na Ha kablas nga nasyon ginlalauman ka Ha imo mga anak ikaw an pinaura… by leafar 1 An tawo daw stranghero hinin kalibutan paraiso ni adan kay kun hiya in manggaran nakakalimtan balaod han kalibungan 2 Ha takna makakapot hin posisyon Dire gud ma bul-iw bis pa daw demolisyon Iya karuyag hiya la guihapon Paglimbong,panguwat pagbubuhaton 3 Usa nga ehemplo an ngatanan batido Mga panhitabo han aton gobyerno Anomaliya kuno paghisgutan ha kongreso Balitaw sayod dire la pagtindog hin eksakto 4 Akon iguindadasig hi hadi Solomon Hiya pinaki anhan han aton makagarahom Dire manggad ngan karikohan iya ginbaton Kundi tagan hiya kasing kasing nga mabinuligon 5 Unta sugad hini kina iya han nagpapasunod Bis diin nga sekta hinin katilimban Anuman nga posisyon mag trabaho hin ungod Ayaw gud kakawang hadton imo kusog 6 Ha takna umabot panagna ha rebelasyon Ginsurat ha bibliya nga mabasa naton Ayaw pagkahadlok nga an kinabuhe tapuson Basta buhata la adton aton misyon DAW KANTA Inin akon sista kun ginbabalsi dayon naguliat waray ak mahimo kundi ugayon hin tono
hinay-hinay	13	take it wasy; go very slowly; moderately	mod.		 Hinay-hinay la, mahinay an lakat han awto
hinungdan	13	cause; reason	n.		 Aton masisiring nga an paglimot ngan pagpasibaya an hinungdan kun kay ano sugad an kahimtang han literatura ha Waray yana
intawon	13	what a pity!; pitiful; mercy	intrj.		 Kairo man intawon ni Kim On, ni Tin Siugaw, Diri na magririko pagnegosyo han hugaw
isda	13	fish	n.		 Kay may ada man isda
kabakahan	13	cows	n.		 \tGen 1 24 Ngan an Dios siniring Mahimo han tuna an mga buhi nga mga ma-nanap sugad han ira kalainan, mga kabakahan ngan mga mananap nga nagoosoy, ngan mga dagku nga mga mananap nga magbangis ha tuna, sugad han ira kalainan ngan nahimo ito
kabayo	13	horse	n.		 Adi,” kuno, “in tinapay, adto man,” kuno, “in kabayo
kalipayan	13	joy; happiness	n.		  An Iroy nga Tuna matam is pagpuy an Bisan diin siplat puros kasangkayan Hahani an hingpit nga ak kalipayan Hahani hira nanay pati kabugtuan
kasina	13	angry; anger; irritated	n.	v.	 \tGen 4 6 Ngan an Dios nagsiring kan Kain Ano in imo kasina
kataposan	13	end	n.		 An pag ayad hin usa ka stanza* tag upat o tagduha nga linya han kadaan nga pagsiday may sukol og may tugma o magpareho nga tunog ha kada kataposan han duduha o uupat nga linya
katloan	13	thirty	num.reg.		 \tGen 5 3 Ngan hi Adam nabuhi hin usa ka gatus katloan ka tuig, ngan naganak hin lalaki nga pariho ha iya, ngan ha iya pamayhon
labaw	13	superior; above all else; above anything else	mod.		 Hilarom an iya kinaadman bahin han kahimtang hin usa nga maribhong ngan buhi nga tradisyon hin Literatura—aktibo nga tradisyon hin pagsurat, mga batan on nga presente nga nagsusurat og nag eeksperimento hin mga porma, publikasyon nga aktibo, intelektwal ngan kritikal nga pagtirutimbang han literatura nga balor han daan og bag o nga mga sinurat, ngan labaw han ngatanan, mag aram og napaid nga mambabasa
langyaw	13	foreign;  foreign nationals	n.	mod.	 17 na katuig an naglabay, nga nagtutugot han mga langyaw nga kapitalista ha mina nga kawaton an aton karikuhan kutob ha waray wantas nga pagruba han aton kalibungan
mahatag	13	will give	v.		 Mahatag hiya hin pagtahod han imo mga karuyag buot-sidngon
makagarahom	13	Almighty; All powerful; God	n.		 Maaram gud hira nga kaugop nira an kamatuoran, relihiyon o an Makagarahom
makakita	13	will see; be able to see	v.		 Lingi gad, bisan la ako makakita hito’n imo kahimo, kuntento na ako
nagtitikang	13	is starting; was starting	v.		 Di gud ini linilikayan, bisan hadton nagtitikang pala magsurat—sugad ba hiton kapupusa pa la nga mga pawikan, malurop gud ito dayon ngadto ha dagat
nakit-an	13	was seen; saw	v.		 Ala gad daw kuno kay may ‘da hito nira nakit-an nga, guti-ay an syahan
naruruyag	13	is liking; is in love (present progressive)	v.		 ” \tAn negosyante kay naruruyag gud han babayi, sugot dayon
nasabot	13	understands; knows	v.	mod.	 “Pasaylo a hira Ginoo, kay diri hira nasabot hit ira binubuhat
paagi	13	1 to give way;  to clear the way 2 procedure; mechanism; means of action; method;plan; process	n.		 ” Kinokopya han iba nga mga istasyon an paagi ngan istilo han ira mga taramdan, pero iginpapabantog han tagdumara han DYVL nga, “Nothing beats the original
pagkadto	13	went (somewhere)	v.		 Han iya pagkadto ha Bohol, nagkamay ada hiya higayon makakita han usa ka klase hin amò, an mago o tarzier
pagsantop	13	comprehension; understanding	n.		 Maano pa man, an nakakabati o nakakabasa nagkakamay ada pagsantop ngan simpatiya dida han makatarawa og makasusobo nga kondisyon han tawo
pagtuo	13	faith	n.		 \tMar 2 5 Ngan han pakakita ni Jesus han pagtoo nira, nagsiring ha lulid Anak, pinasaylo ka na han imo mga sala
palibot	13	surroundings; environment	n.		 Usa liwat nga nagataw dinhi amo an “pamahungpahong” han Waray ngadto han mga butang ha iya palibot An pulong nga “balay” ha literal nga kahulogan in “sirongan,” “pamilya,” og “seguridad
parte	13	allotment; component; part; share	n.	v.	 An yinaknan han timog nga parte han Leyte in Cebuano, upod an Villaba
pastilan	13	oh my!; how painful; alas! 	intrj.		 Ako an menor de edad pa, Diri pa maaram han ngaran nga gugma, Pastilan gad mano, iton imo gugma, ayaw Pastilan gad, Mano, igpadayon , Kay makawang man la iton imo mga pulong
pitad	13	step; to step; to take a step;  to walk lightly	noun	v.	 Usa han mga pitad nga binubuhat amo an kinada tuig nga creative writing workshop ha Northwest Samar State University NwSSU, anay Tiburcio Tancinco Memorial Institute of Science and Technology —an LAMIRAW Creative Writing Workshop
saad	13	1 promise 2 testament	n.		 Waray problema, an saad ko ha imo, patay, pamamatayon ta, waray ito problema
saka	13	1 to climb; to climb up; to go upstairs; ascent; to go uphill; to mount; 2 to stay at someone\'s house	v.		 ” Paarot, kahuman saka ngadto ha tore, pakianhan diretso, tikang han katikangan han istorya
sakay	13	1 ride 2 rider	v.	n.	 \tWaray man hiya iba nga binuhat, sakay dayon
tradisyon	13	tradition	n.		 Hilarom an iya kinaadman bahin han kahimtang hin usa nga maribhong ngan buhi nga tradisyon hin Literatura—aktibo nga tradisyon hin pagsurat, mga batan on nga presente nga nagsusurat og nag eeksperimento hin mga porma, publikasyon nga aktibo, intelektwal ngan kritikal nga pagtirutimbang han literatura nga balor han daan og bag o nga mga sinurat, ngan labaw han ngatanan, mag aram og napaid nga mambabasa
ubay	13	parallel; lying side by side	mod.		 Gen 19 31 Ngan an suhag siniring ha iya manghud An aton amay lagas na, ngan waray lalaki dinhi ha tuna nga makanhi ha aton sugad han kabata-sanan han bug-os nga tuna Gen 19 32 Kadi, painma naton hin alaksio an aton amay, ngan hi kita manga-ngahigda ubay ha iya, basi nga kita makatipig tikang ha aton amay hin katulinan
umagad	13	son or daughter in-law	n.		 \tGen 11 31 Ngan hi Tare kinuha hi Abram nga iya anak, ngan hi Lot nga anak ni Haran, nga anak nga lalaki han iya anak nga lalaki, ngan hi Sarai nga iya umagad nga babaye, asawa ni Abram nga iya anak
abakadahan	12	alphabet	n.		 An kadaan nga abakadahan gagamiton komo batakan nga pananglitanan ha pagtutdo han bata pagluwas, pagbasa, pamati ug pagsurat nga nagamit han tuminungnong nga mga pulong
maka	12	be able to  	affix		 \tGen 7 3 Sugad man an mga tamsi han mga langit, pito ngan pito, lalaki ngan babaye, basi maka buhi hin katulinan ha bawbaw han bug-os nga tuna
ala	12	1 mark time (see alas) 2 expression of surprise (see Hala as variation)	n.	intrj.	 Ala gad, kay nakahiram dinhi ha dughan
apo	12	grandchild	n.		 Hi ako an tuba kan lubi apo Baliko nga daol amo an amay ko Hi Nanay nga lakob amo an iroy ko Kawit nga may sakal amo an padrino Kawit Baliko nga sarad tadong na kutsilyo Amo an nagririwa amo an nagmamasuso Barok an nagbunyag han pagka kristiyano Nga nakakabuotan ug nakakatonto Kay ako an irimnon nga makawiwili Ako an tinikangan han mga potente Ako an hasyenda han mahal nga hadi Ako an ginpukan han mananggiti
bana	12	husband	n.		 An bana an nagyayakan
barangay	12	village; the smallest political unit of community in the Philippines	n.		 An puntirya han pagdayaw amo an matahom nga daraga, tawo nga maabilidad, susbaranan nga amay o inay, padi, talahuron nga opisyal han gobyerno, magturotdo, o mangulo han barangay
batan-on	12	young; youthful; younger	n.	mod.	 Hilarom an iya kinaadman bahin han kahimtang hin usa nga maribhong ngan buhi nga tradisyon hin Literatura—aktibo nga tradisyon hin pagsurat, mga batan-on nga presente nga nagsusurat og nag-eeksperimento hin mga porma, publikasyon nga aktibo, intelektwal ngan kritikal nga pagtirutimbang han literatura nga balor han daan og bag-o nga mga sinurat, ngan labaw han ngatanan, mag-aram og napaid nga mambabasa
ginsiring	12	was believed; was told	v.		 Tikang hadto ginsiring nga namatay na hi Layong Uray
gudti	12	small; midget	mod.		 Tapos sakay sakay namon han gudti pa kami
higayon	12	opportunity; chance	n.		 “Brod, pedalan paspasi gad naton Kay ako naglalanat hin importante nga higayon
hinkit-an	12	was seen (without intent)	n.		 Hinkit-an iton, may ayam didto
iba-iba	12	varying	mod.		 Hadto nga panahon damo an tikasan nga nangangawat ha iba-iba nga bungto
ibinutang	12	(without deliberate intent) was placed; was set up; was put	v.		 Gintirotimbang ug diri paturapak an iya paglatag han magkadirudilain nga mga personalidad, ibinutang hin maupay subay han pagkasunodsunod—an matambok ngan magasa,an nagdadagmit ngan naghihinay, an damo an karadtoan ngan uusa la, og an sumarakay nga damo an dara tubtob waray na niya malilingkuran
igin-anak	12	was born	v.		 ngan hi Abram nagtawag han ngaran han iya anak nga iginanak ni Agar, hin Ismael
iginbutang	12	(deliberately)was put; was placed; was set up 	v.		 \tGen 2 15 Ngan kinuha han Ginoo nga Dios an lalaki, ngan iginbutang hiya didto ha tanaman han Eden basi niya paghawanan ngan pag bantayan
iginpadara	12	was sent (by anyone through somebody to someone)	v.		 ini iginpadara kay ipinahatag ha akon ginoo nga hi Esaw ngan, kitaa, hiya man aadi ha orhi namon
igkasi	12	fellow	affix		 Pero sugad gihapon hini an mga manarakay— waray pagmayuyo, waray pagtagad ngan diri naghuhuna huna hiton iya igkasi pasahero
ilarom	12	under; beneth	mod.		 Kun naabot na an mga tikasan, gintatago niya hi LayongOray ha ilarom hit mga puno nga dagko, nga naigbaw it mga ugat
kain	12	(root word) where	v.		 Ngan hi Abel parabantay han mga karnero, kondi hi Kain paradalos han tuna
kasing	12	top, a spinning toy	n.		 ” Pero han baga na, paghagos hin pira ka bulan nagsiring iton, hiya na ngahaw, hi Sandangaw, “Tatay, nanay, ini nga ak’ ginsa-og nga lawa-an, himoa ini niyo nga kasing
kukuhaon	12	will get; will pick;  will harvest;  will take; will reap; will take something by the hand; will fetch 	v.		 Kahuman nimo pagbutang han kwarta, imo na kukuhaon ito nga grapa kun pira an kapital
lider	12	leader; head	n.		 Pagsaysay pa ni Lebico nga igo na ini nga santopon kunta han aton mga lider gobyerno anu an dako nga epekto hini ha aton kalibungan kontra han aton seguridad ha pagkaon labi na nga duro na ka epektibo an grabe nga pagbag o han aton klima labot nala han direkta nga epekto hini ha pakabuhi han mga parag uma ngan katawhan ha bug os nga probinsya
magsusurat	12	1 will write; to write (something) 2 writer	v.	n.	 Dara kay diri ginagamit ha pag aram, an katahom han Waray nga pinulongan hinngalimtan ngan an tradisyonal nga mga magsusurat hinkalimtan ha kawad an
manghod	12	younger brother or sister	n.		 ” Niyan may usa nga padi, an padi dida han bungto, may ada bugto nga daraga, niyan ini nga daraga may uyab, burod ini nga manghod han padi
nagsumat	12	told someone	v.		 Ikaw Pedro, kay nagsumat man kan iya Inay nga may ada hiya ipakarasal
natural	12	natural; inherent	mod.		 Dara han social milieu kun diin nagsusurat hi Pinca, natural nga may epekto o, masasalamin ini ha iya panurat
opisyal	12	official	n		 An puntirya han pagdayaw amo an matahom nga daraga, tawo nga maabilidad, susbaranan nga amay o inay, padi, talahuron nga opisyal han gobyerno, magturotdo, o mangulo han barangay
paghatag	12	to give (the act of doing the verb)	v.		 Nakahuna huna hiya paghatag hin mga puplonganon ha Waray kada kahuhuman han taramdan, agud magkamay ada baga iba nga rasa an kada aga nga mga sumat
pagsulod	12	to enter	v.		 \tGen 12 11 Ngan nahanabu, han harani na hiya ha pagsulud ha Egipto, hiya siniring kan Sarai nga iya asawa Kitaa yana, ako maaram nga ikaw babaye nga may mahusay nga lin-dong \t
pagsurat	12	write; write (a letter)	n.	v.	 Waray gud may nagsulsog han kan Pablo Rebadulla pamaagi hin pagsurat nga permi puno hin emosyon sugad han iya “Basuni” 1990 nga duro hin katalagsaon ngan popular
palasyo	12	palace	n.		 Pagkatapos, inmaro hin kuan, nga l’ong, “Bilitaryo ko,” kuno, “nga may birtud, umabot,” kuno, “in palasyo nga waray na iniiliw
patron	12	1 feast; fiesta; town fiesta; festival 2 patron; patron saint	n.		 Ada, inmabot an bulan han Mayo, patron nga patron ka duro, an iya mimisahan Santarin
pirme	12	always;often; mostly; perennial 	mod.		 Ginmawas hiya ngan ginkuha an iparalit hin tinapay nga pirme ginbubutang ni iya Lola didto ha lamesa
sakayan	12	1 boat; 2 transport vehicle	n.		 Nakatapo na liwat hiya hin sakayan
sigurado	12	certain; sure	mod.		 Di sigurado na hini nga mga pakiana, diin ini tikang kay ginhilom ini niya san o hiya sinmagka ngadto ha bukid
sistema	12	system	n.		 Ta, asya na iton an sistema kuno hadto nga mga panahon
siyam	12	nine	num.reg.		 \tGen 5 5 Ngan an ngatanan nga mga adlaw han kinabuhi ni Adam, siam ka gatus katloan ka tuig ngan hiya namatay
sumala	12	1 according to 2 you know that!	l.		 Di ngani, pinaagi han ira kalugaringon nga gahom, dadayawon nira in usa nga masinugtanon nga anak, an mahinigugmaon og maataman nga iroy, daraygon nga tawo, matinumanon nga bana, ngan damo pa nga iba, mga gawi nga kinikilala han sosyudad nga angay og tama sumala han ira kinadak an nga kalibotan
sundalo	12	soldier	n.		 Pagmalatumat pa ni Lebico nga ginkasuhan hi Palparan hin kidnapping ug serious illegal detention kanda Karen Empeño and Sherlyn Cadapan, mga estudyante ha Unibersidad han Pilipinas UP nga gintahapan nga gin kidnap, gin torture ngan gin rape han mga sundalo ha ilarom han pamumuno ni Palparan ha Central Luzon
tipakadto	12	head for a place	v.		 May ada magsarangkay tipakadto hira ha dagat, mangingisda kuno hira
tiyan	12	belly; stomach	n.		 ngan ha imo tiyan ikaw magoosoy, ngan tapotapo an imo makakaon ha ngatanan nga adlaw han imo kinabuhi \t
tuba	12	wine derive from coconut palm sap	n.		 ” Asya ada nga naimbento nira an tuba ug ignom, agud liawon an kada tagsa nga kalugaringon tikang han “kawaray mahihimo” ha “pag ukoy
tuod	12	1 true; real;certain 2 to believe; to obey 3 tree stump; dead wood	n.	mod.	 ” Pakasaka niya han palasyo, aadi nagsusunod na an tuod nga hadi, pero lubas
uli	12	to restore; to return an object; to return; to go home	v.		 Dida han dagkolaay na ini nga mga kabataan, nakada hin mga tres ngada kwatro anyos, an Mayor nasakit, sanla, nahalin kun ngain ngain la nga mga leper colony, pag abot ngadto, nagdisgrasya, naupay, pero waray tugoti pag uli kay baga Sali ginkwarantinas
walo	12	eight	n.		 An usa nga linya aada ha napulo kag unom 16 ngadto ha napulo kag walo 18 kasilaba
yinaknan	12	language	n.		 Tinawag nga Kana ini nga yinaknan tungod han agsob nga paggamit han pulong nga “kana” “ito man” ha ira himangraw
aanhi	11	is here; will be here (near the speaker and listener)	pro.d.		 An kadamo han iya mga siday nga aanhi hini nga libro an magpapamatuod han iya kamaduroto ha pagsurat
awto	11	automobile; car; motor vehicle	n.		 Dayon sumarakay gintawag nira, Kampay ha tuo, kampay ha wala, Waray kaiha may awto nga pumarada Ngan damo nga pasahero an sumakay ha ira
bisita	11	visitor	n.		 Dadamo an bisita nga taga iba nga ginhadian
bukad	11	1 flower; blossom; bloom 2 a tool used to dig	n.		 Kay ano nga tinatawag nga “rahondahon” an rahondahon han bukad
dadlagan	11	to run (plural)	v.		 Dadlagan na liwat namon
dapit	11	1 by; at; to; towards;  in the direction of 2 similar, likely; something like 3 summon; serve a writ issued by the court	v.		 Kay ano, pananglitan, nagpalya an Marxismo ha Rusya og iba pa nga dapit
dugang	11	1 extra; addition; more 2 to have some more	n.	v.	 ” dugang han lain nga estambay
edad	11	age	n.		 Duong na ito nga barko, an duha nga bata, sidngon ta an edad mga dose anyos na, kadto kamo, kamo iton bantay hiton barko, dida ka ha ulin Pedrito, didto ka Nandito ha dulong, kun ano man in’ maraot nga mahitabo ha barko, pamamatayon ko kamo kay hi ako’n magbabaton hito
gatas	11	milk	n.		 Kay nagkasakit an iya kuan, an hadi, an makaupay la an gatas han leon
grupo	11	group	n.	mod.	 Pira pa la liwat ka bulan an linmabay natindog an grupo han magsusurat dinhi ha Rehiyon 8, an Katig Writers Network, Inc
hangagay	11	turtle	n.		 Limnagdos ini nga amo, kay an iya pag iburulos gud han hangagay kay waray pakakuan, gininusop niya an tubig
hapon	11	1 Japanese 2 perch	n.	v.	 Kanan mga hapon adto mga supplies
kabutangan	11	state; state of being; situation; condition	n.	mod.	 “Ginpapabay an han aton gobyerno an kabutangan han katawhan ha  General MacArthur, Eastern Samar tungod nagpapadayon an pag operate han dagko nga kompaya hin mina sugad nala han Masada Mining Corporation nga waray permit hin pagkuha hin tone tonelada nga chromite ha Este han Samar,” pahayag ni Nestor Lebico, Secretary General han Samahan han Gudti nga Parag uma ha Sinirangan Bisayas o SAGUPA SB
kadako	11	1 bigness; size; dimension; capacity 2 that is huge! 	n.	intrj.	 Pagkita niya, waray niya hinkikit an nga tawo, dida han tungod na han pangpang han salog an barko, basta kay pwerte hin kadako hin barko, asay niya hinkit an an letra nga “Between Barugo & Carigara
kataliwan	11	afterwards/later on; see taliwan	mod.		 Mahibabatian ini mga alas syete kataliwan han mga sumat ha aga
kuhaon	11	1 will get something 2 to get something	v.		 Nadisgrasya, may umagi nga barko kay isla man, ginkinampay ito kay magbabaligya hiya’n kwentas, o ibabalyo hin bugas, dumuong an barko, pagduong kuhaon niya an kwentas, ngalaong, ibabaligya ko ini, o sino man balyoa hin bugas, mga de kantidad, puro mga kadaan pa
kumadto	11	went 	v.		 May plano hira kumadto ha Manila para mangita hin trabaho nga durodako an sweldo, sanglit hi Anna nagtinda hin mani, kendi ngan sigarilyo didto ha paradahan han mga bus nga harani ha pantalan
madali	11	1 quick; quickly; 2  brief; briefly; short;	mod.	v.	 Kabugtu an kadi anay, pamati madali ay
makuha	11	to get (something or somebody)	v.		 46 Sumiring, nga l’ong, “Kinahanglan makuha kita hin tambalan kay ini,” kuno… “pamati ko ini, darahog ini
mapaso	11	hot; fiery; fervent;sultry; warm; unventilated	n.		 An iniingganyo han DYVL nga siday adton naghihingaday han kun ano an mapaso nga isyu—reporma ha tuna, kalibongan, agrikultura, druga, pangurakot, tinuyaw ha gobyerno, kahimyangan
masunod	11	1 will follow 2 obedient	v.	mod.	 Nakig istorya la hiya ha akon ngan nag hatag hin hibaru nga, “May masunod pa man
naabat	11	felt; noticed; seen	v.		 Pagtamod niya, naabat niya an kadena nga nagtitikahugot ha iya li og
nakanhi	11	came;arrived; was in that place	v.		 Amo ito nga inin nga bato nakanhi
nakapira	11	how many times	v.	mod.	 Nakapira man ako hito niya dad-a, ginkakarga la ako han iya jeep
nakikita	11	1 visible; is seen; can be seen 2 income	v.	n.	 An mga eksena nga nakikita ko ha panhunahuna bagan telenovela na mas klaro pa kay kaupod ako han istorya
nasugad	11	it so happened; it came to be	v.	mod.	 An mga tawo nga baga mag-isog, pagsasaka han kuan, kay nasugad man hito, ginkakalidingan nira hin bato nga di makadayon ngadto
naukoy	11	resides	v.		 May naukoy na higante ha Isla han Suluan
pagbalik	11	to return	n.	v.	 Douglas McArthur adton makasaysayan nga pagbalik niya ha Pilipinas
pagsiring	11	to tell; to say (the act of doing the verb)	v.		 Imbestigasyon dayon, pagsiring han duduha nga bata.
pagyakan	11	to speak	v.		 \tMar 12 1 Ngan hiya nagtikang pagyakan ha ira ha mga pananglitan Usa ka tawo nagtanum hin usa nga urubasan, ngan ginpalibotan niya hin kudal, ngan nagpaukab hin usa nga atabay nga su-sudlan han porog-on nga ubas, ngan nagtindog hin usa nga torre, ngan pi-napagmangnoan ha pira ka parauma, ngan linakat ngadto ha iba nga tuna
pahayagan	11	newspaper; daily	n.		 An mirisi, dida han may magrebyu hini nga nasabi nga sarswela ug nahimantala ha usa nga pahayag dinhi ha Sinirangan Visayas, kay an direktor la an ginngaranan
